x,y,Temperature
2.986698145668284510e-01,4.883584264165251598e-01,6.329157318604892879e+01
2.620654384935750536e-01,5.109254765775622653e-01,5.735096404721871721e+01
2.468847095128566815e-01,4.975344901332589553e-01,6.127644615134082784e+01
2.621601624417404519e-01,4.955177614990645130e-01,6.089121692271341146e+01
3.198760466515275236e-01,4.660181384811649119e-01,7.758539626137763889e+01
3.493811800713390037e-01,5.258711960989177481e-01,5.523541311394718178e+01
3.047724713326095403e-01,4.729162791433018098e-01,7.371783746888884536e+01
3.016487058425592616e-01,4.567489256959534338e-01,7.909164419915390454e+01
3.205441744685003647e-01,5.118210122929918171e-01,5.812987343558656050e+01
3.050967892047756758e-01,5.042946205009495309e-01,5.997314663980759519e+01
3.221590114919690717e-01,4.888911467140105160e-01,6.645117932921029080e+01
3.826341850534274447e-01,4.713046575252369808e-01,7.024086017142521143e+01
3.432211172602065985e-01,5.018962419336429059e-01,6.045271121582461404e+01
3.361039288168379824e-01,5.165037663513174504e-01,5.474449504228704200e+01
